name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Nike Volleyball Camp in Hood River - All Skills Camp (July 21–23, 2026)",volleyball,10,15,2026-07-21,2026-07-23,1602 May St,Hood River,OR,97031,"Join us this summer at Hood River Middle School for fun and learning on the court! Campers, ages 10-15, will train with an elite coaching staff using a curriculum designed by James Finley, former Head Volleyball Coach at Seattle University. This Oregon volleyball camp is open to girls and boys of all abilities and geared towards building confidence, improving skills, and making new friends. From fun drills to lively games, every moment is designed to help you enjoy the sport you love. Don’t miss out this summer in Hood River—sign up today!",$351,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-hood-river,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Lewis & Clark College - All Skills Camp (June 15–18, 2026)",volleyball,12,18,2026-06-15,2026-06-18,Lewis and Clark College,Portland,OR,97219,"Join us this summer at Lewis &amp; Clark College for fun and learning on the court! Campers of all abilities will train with Head Volleyball Coach, Erin Labasan, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 9-18, this camp in Oregon is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Portland—sign up today!",$504,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-lewis-and-clark-college,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Lewis & Clark College - Serving & Passing Clinic (June 19, 2026)",volleyball,9,18,2026-06-19,2026-06-19,Lewis and Clark College,Portland,OR,97219,"Join us this summer at Lewis &amp; Clark College for fun and learning on the court! Campers of all abilities will train with Head Volleyball Coach, Erin Labasan, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 9-18, this camp in Oregon is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Portland—sign up today!",$132,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-lewis-and-clark-college,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Lewis & Clark College - Intermediate/Advanced Camp (July 27–30, 2026)",volleyball,14,18,2026-07-27,2026-07-30,Lewis and Clark College,Portland,OR,97219,"Join us this summer at Lewis &amp; Clark College for fun and learning on the court! Campers of all abilities will train with Head Volleyball Coach, Erin Labasan, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 9-18, this camp in Oregon is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Portland—sign up today!",$508,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-lewis-and-clark-college,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Lewis & Clark College - Serving & Passing Clinic (July 31, 2026)",volleyball,9,18,2026-07-31,2026-07-31,Lewis and Clark College,Portland,OR,97219,"Join us this summer at Lewis &amp; Clark College for fun and learning on the court! Campers of all abilities will train with Head Volleyball Coach, Erin Labasan, while enjoying a supportive and exciting atmosphere. Open to girls and boys, ages 9-18, this camp in Oregon is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Portland—sign up today!",$132,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-lewis-and-clark-college,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Susquehanna University - Overnight Camp (July 26–30, 2026)",volleyball,11,17,2026-07-26,2026-07-30,514 University Ave,Selinsgrove,PA,17870,"Join us this summer at Susquehanna University for an exciting overnight volleyball camp! Campers of all skill levels will train with an experienced coaching staff in a positive, high-energy environment focused on learning and growth. Open to girls and boys ages 9–17, this Pennsylvania volleyball camp is designed to build confidence, improve skills, and create lasting friendships. Don’t miss out this summer in Selinsgrove — register today!",$799,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-susquehanna,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Susquehanna University - Extended Day (Commuter) Camp (July 27–30, 2026)",volleyball,9,17,2026-07-27,2026-07-30,514 University Ave,Selinsgrove,PA,17870,"Join us this summer at Susquehanna University for an exciting overnight volleyball camp! Campers of all skill levels will train with an experienced coaching staff in a positive, high-energy environment focused on learning and growth. Open to girls and boys ages 9–17, this Pennsylvania volleyball camp is designed to build confidence, improve skills, and create lasting friendships. Don’t miss out this summer in Selinsgrove — register today!",$649,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-susquehanna,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Providence Country Day High School -  (July 27–31, 2026)",volleyball,10,16,2026-07-27,2026-07-31,660 Waterman Ave,East Providence,RI,02914,"Experience an exciting volleyball camp in the summer 2026 in Providence, Rhode Island! Open to boys and girls ages 10–16, this camp offers a fun and active way to improve volleyball skills while enjoying the game. Athletes will train with experienced coaches, focus on key techniques, and take part in competitive scrimmages that encourage teamwork and confidence. Players will grow on and off the court in a positive, energetic environment while making new friends and lasting summer memories.",$469,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-providence-country-day,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Allen University - Beginner/Intermediate Camp (July 6–8, 2026)",volleyball,10,14,2026-07-06,2026-07-08,1516 Pine St,Columbia,SC,29204,"Join us this summer at Allen University for fun and learning on the court! Campers of all abilities will train with Head Coach, Danielle Robinson, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-18, this camp in South Carolina is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Columbia—sign up today! HONORABLE MENTION IN THE 2025 TOP 10 NIKE VOLLEYBALL CAMPS. The Top-Rated Camp &amp; Director Awards recognize and celebrate directors who deliver exceptional, BEST-IN-CLASS experiences for both campers and parents. Winners are determined through a detailed analysis of thousands of post-camp parent reviews, with the goal of amplifying positive word-of-mouth, boosting camp enrollment, and reinforcing parents’ confidence that their investment was worthwhile.",$199,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-allen-university,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Allen University - Intermediate/Advanced Camp (July 13–15, 2026)",volleyball,14,18,2026-07-13,2026-07-15,1516 Pine St,Columbia,SC,29204,"Join us this summer at Allen University for fun and learning on the court! Campers of all abilities will train with Head Coach, Danielle Robinson, while enjoying a supportive and exciting atmosphere. Open to girls, ages 10-18, this camp in South Carolina is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out in Columbia—sign up today! HONORABLE MENTION IN THE 2025 TOP 10 NIKE VOLLEYBALL CAMPS. The Top-Rated Camp &amp; Director Awards recognize and celebrate directors who deliver exceptional, BEST-IN-CLASS experiences for both campers and parents. Winners are determined through a detailed analysis of thousands of post-camp parent reviews, with the goal of amplifying positive word-of-mouth, boosting camp enrollment, and reinforcing parents’ confidence that their investment was worthwhile.",$199,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-allen-university,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at The Box - Serving & Passing Clinic (July 20, 2026)",volleyball,10,18,2026-07-20,2026-07-20,631 Watiki Way,Box Elder,SD,57719,"Join us this summer at The Box in South Dakota for fun and learning on the court! Campers of all abilities will train with an elite coaching staff using a curriculum designed by James Finley, former Head Volleyball Coach at Seattle University. Open to girls and boys, ages 10-18, this camp in Box Elder is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out—sign up today!",$89,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-south-dakota,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at The Box - Setting Clinic OR Hitting Clinic (July 20, 2026)",volleyball,10,18,2026-07-20,2026-07-20,631 Watiki Way,Box Elder,SD,57719,"Join us this summer at The Box in South Dakota for fun and learning on the court! Campers of all abilities will train with an elite coaching staff using a curriculum designed by James Finley, former Head Volleyball Coach at Seattle University. Open to girls and boys, ages 10-18, this camp in Box Elder is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out—sign up today!",$89,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-south-dakota,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at The Box - All Skills Camp (July 21–23, 2026)",volleyball,10,15,2026-07-21,2026-07-23,631 Watiki Way,Box Elder,SD,57719,"Join us this summer at The Box in South Dakota for fun and learning on the court! Campers of all abilities will train with an elite coaching staff using a curriculum designed by James Finley, former Head Volleyball Coach at Seattle University. Open to girls and boys, ages 10-18, this camp in Box Elder is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out—sign up today!",$425,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-south-dakota,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at The Box - HS Prep/Advanced Camp (July 21–23, 2026)",volleyball,14,18,2026-07-21,2026-07-23,631 Watiki Way,Box Elder,SD,57719,"Join us this summer at The Box in South Dakota for fun and learning on the court! Campers of all abilities will train with an elite coaching staff using a curriculum designed by James Finley, former Head Volleyball Coach at Seattle University. Open to girls and boys, ages 10-18, this camp in Box Elder is geared toward building confidence, improving skills, and making new friends. From fun drills to friendly games, every moment is designed to help you enjoy the sport you love. Don’t miss out—sign up today!",$425,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-south-dakota,FALSE,FALSE,camp,,,medium
"Nike Volleyball Camp at Mount Marty University -  (June 1–4, 2026)",volleyball,8,14,2026-06-01,2026-06-04,1105 W 8th St,Yankton,SD,57078,"Sharpen your skills this summer at our 2026 volleyball camp at Mount Marty University in Yankton, South Dakota! Open to boys and girls ages 8–18, this camp builds strong fundamentals, improves technique, and boosts confidence through energetic, hands-on instruction. Led by Head Coach Sophia Lobo Paes and her experienced staff, athletes will learn, practice, and compete in a positive, team-focused environment. It’s a great place to grow as a player, make new friends, and enjoy a fun, memorable week of volleyball!",$335,day,all,open,,,https://www.ussportscamps.com/volleyball/nike/nike-volleyball-camp-mount-marty-university,FALSE,FALSE,camp,,,medium
